idx,mae,rmse,corr,ssim,bias,std_ratio,pred_min,pred_max,gt_min,gt_max
2.800000000000000000e+01,1.223597396165132523e-02,1.558627374470233917e-02,9.397060575875942900e-01,3.725531480023471786e-01,4.852712154388427734e-04,9.883430600166320801e-01,2.563653513789176941e-03,2.408510148525238037e-01,0.000000000000000000e+00,2.648458480834960938e-01
2.900000000000000000e+01,1.254663150757551193e-02,1.604468561708927155e-02,9.352931453786694771e-01,3.218577589139634543e-01,1.915991306304931641e-04,9.701264500617980957e-01,2.484894823282957077e-03,2.282111644744873047e-01,0.000000000000000000e+00,2.443205267190933228e-01
3.000000000000000000e+01,1.245070621371269226e-02,1.587917655706405640e-02,9.335135535846792454e-01,3.354331680047664133e-01,2.359516918659210205e-03,9.497206807136535645e-01,2.463252050802111626e-03,2.386480420827865601e-01,0.000000000000000000e+00,2.486261874437332153e-01
3.100000000000000000e+01,1.221317239105701447e-02,1.561518758535385132e-02,9.348476489914521181e-01,3.471838938119798379e-01,1.387279480695724487e-03,9.455350637435913086e-01,2.453330205753445625e-03,2.387458533048629761e-01,0.000000000000000000e+00,2.548323869705200195e-01
3.200000000000000000e+01,1.249857619404792786e-02,1.605065353214740753e-02,9.270223179006396030e-01,3.163362357662700686e-01,6.559006869792938232e-04,9.443858861923217773e-01,2.984882099553942680e-03,2.281395494937896729e-01,0.000000000000000000e+00,2.416108697652816772e-01
3.300000000000000000e+01,1.245735306292772293e-02,1.597949117422103882e-02,9.261685867976791053e-01,3.269109500329540619e-01,-9.720139205455780029e-04,9.286206364631652832e-01,2.572763012722134590e-03,2.122348099946975708e-01,0.000000000000000000e+00,2.418857812881469727e-01
3.400000000000000000e+01,1.215749513357877731e-02,1.558251678943634033e-02,9.282339213695145475e-01,3.313386000276483667e-01,-2.940185368061065674e-04,9.324998855590820312e-01,2.434052526950836182e-03,2.260814011096954346e-01,0.000000000000000000e+00,2.322367131710052490e-01
3.500000000000000000e+01,1.232171151787042618e-02,1.586744375526905060e-02,9.246757953009031583e-01,3.219033126820216029e-01,-1.530084758996963501e-03,9.151348471641540527e-01,2.204684540629386902e-03,2.099599093198776245e-01,0.000000000000000000e+00,2.288825362920761108e-01
3.600000000000000000e+01,1.242240332067012787e-02,1.599721424281597137e-02,9.213865573115991303e-01,3.320106356719959018e-01,-1.793950796127319336e-03,9.255040884017944336e-01,2.099530305713415146e-03,2.110197544097900391e-01,0.000000000000000000e+00,2.436610311269760132e-01
3.700000000000000000e+01,1.232981774955987930e-02,1.587289571762084961e-02,9.218275343856857651e-01,3.119533875885923124e-01,-8.620023727416992188e-04,9.217036366462707520e-01,2.020340878516435623e-03,2.212062478065490723e-01,0.000000000000000000e+00,2.268792092800140381e-01
3.800000000000000000e+01,1.236666180193424225e-02,1.587790995836257935e-02,9.184269985755653121e-01,3.329506726221863611e-01,-9.296908974647521973e-04,9.318627119064331055e-01,1.902320655062794685e-03,2.112960368394851685e-01,0.000000000000000000e+00,2.385833114385604858e-01
3.900000000000000000e+01,1.226821634918451309e-02,1.571439765393733978e-02,9.199430196628868295e-01,3.302635452546000550e-01,-9.285584092140197754e-04,9.260383844375610352e-01,1.841448713093996048e-03,2.121941000223159790e-01,0.000000000000000000e+00,2.279260456562042236e-01
4.000000000000000000e+01,1.211209967732429504e-02,1.553114689886569977e-02,9.199892472191700810e-01,3.481803440874294275e-01,8.783340454101562500e-04,9.333925247192382812e-01,1.902270596474409103e-03,2.165511101484298706e-01,0.000000000000000000e+00,2.407669872045516968e-01
4.100000000000000000e+01,1.208386104553937912e-02,1.552416663616895676e-02,9.188602656749143005e-01,3.678667153115088295e-01,1.495331525802612305e-04,9.305064082145690918e-01,1.799561083316802979e-03,2.199211716651916504e-01,0.000000000000000000e+00,2.560683488845825195e-01
4.200000000000000000e+01,1.233069971203804016e-02,1.591786369681358337e-02,9.149114324695905021e-01,3.081541588800443265e-01,1.689568161964416504e-04,9.233016371726989746e-01,1.822244608774781227e-03,2.065998613834381104e-01,0.000000000000000000e+00,2.159461677074432373e-01
4.300000000000000000e+01,1.245007012039422989e-02,1.597661338746547699e-02,9.128767207250680915e-01,3.119688602783963760e-01,1.417223364114761353e-03,9.335390925407409668e-01,1.820160774514079094e-03,2.012050598859786987e-01,0.000000000000000000e+00,2.275881618261337280e-01
4.400000000000000000e+01,1.226196531206369400e-02,1.579559780657291412e-02,9.156077409882267260e-01,3.294181583954504666e-01,1.139324158430099487e-03,9.250540733337402344e-01,1.572411390952765942e-03,2.054678350687026978e-01,0.000000000000000000e+00,2.307801991701126099e-01
4.500000000000000000e+01,1.218418031930923462e-02,1.570970006287097931e-02,9.162433628644744976e-01,3.259664147508253840e-01,8.541271090507507324e-04,9.229887723922729492e-01,1.398419030010700226e-03,2.346944212913513184e-01,0.000000000000000000e+00,2.289009392261505127e-01
4.600000000000000000e+01,1.221064385026693344e-02,1.577856764197349548e-02,9.155086221571250293e-01,3.344616145250555728e-01,3.764927387237548828e-04,9.202568531036376953e-01,1.219882280565798283e-03,2.232336103916168213e-01,0.000000000000000000e+00,2.343465238809585571e-01
4.700000000000000000e+01,1.223233062773942947e-02,1.573516428470611572e-02,9.136555155934416028e-01,3.337157853189871570e-01,1.485843211412429810e-03,9.370774626731872559e-01,1.164798159152269363e-03,2.108831554651260376e-01,0.000000000000000000e+00,2.250709384679794312e-01
4.800000000000000000e+01,1.224508974701166153e-02,1.581258885562419891e-02,9.134694245211140151e-01,3.244485418145939826e-01,8.145719766616821289e-04,9.278327822685241699e-01,1.141391694545745850e-03,2.054936140775680542e-01,0.000000000000000000e+00,2.284285873174667358e-01
4.900000000000000000e+01,1.224191021174192429e-02,1.583872549235820770e-02,9.129872543090595816e-01,3.466779634331790816e-01,7.847920060157775879e-04,9.281252622604370117e-01,1.132079400122165680e-03,2.083285450935363770e-01,0.000000000000000000e+00,2.470022737979888916e-01
5.000000000000000000e+01,1.222106628119945526e-02,1.577811129391193390e-02,9.116755820803156274e-01,3.282495957665155784e-01,7.314011454582214355e-04,9.392813444137573242e-01,1.123370137065649033e-03,2.211571931838989258e-01,0.000000000000000000e+00,2.277771681547164917e-01
5.100000000000000000e+01,1.222473289817571640e-02,1.585063152015209198e-02,9.131782783059169128e-01,3.327430808537225615e-01,-1.010946929454803467e-03,9.253807663917541504e-01,1.118652755394577980e-03,2.083607017993927002e-01,0.000000000000000000e+00,2.265294790267944336e-01
5.200000000000000000e+01,1.230497471988201141e-02,1.595794968307018280e-02,9.130779611513650806e-01,3.300534954099573759e-01,-1.177757978439331055e-03,9.183693528175354004e-01,1.119974767789244652e-03,2.229973077774047852e-01,0.000000000000000000e+00,2.311349809169769287e-01
5.300000000000000000e+01,1.206442248076200485e-02,1.560608390718698502e-02,9.148688257061007301e-01,3.494671017961091808e-01,-5.726665258407592773e-04,9.282870292663574219e-01,1.163351233117282391e-03,2.192680835723876953e-01,0.000000000000000000e+00,2.341340780258178711e-01
5.400000000000000000e+01,1.229751948267221451e-02,1.592982001602649689e-02,9.100889650462985481e-01,3.250550246705471991e-01,-4.470199346542358398e-04,9.333103895187377930e-01,1.378763583488762379e-03,2.115928530693054199e-01,0.000000000000000000e+00,2.287303060293197632e-01
5.500000000000000000e+01,1.236031111329793930e-02,1.596286334097385406e-02,9.079908042134454682e-01,3.137574902070622840e-01,-1.083910465240478516e-04,9.435111880302429199e-01,1.515182084403932095e-03,2.124465405941009521e-01,0.000000000000000000e+00,2.204171866178512573e-01
5.600000000000000000e+01,1.227989140897989273e-02,1.585237309336662292e-02,9.113902197389877058e-01,3.150645846586815901e-01,-3.509148955345153809e-04,9.314906001091003418e-01,1.581281889230012894e-03,2.064292728900909424e-01,0.000000000000000000e+00,2.145660370588302612e-01
5.700000000000000000e+01,1.198548357933759689e-02,1.548469904810190201e-02,9.171038024212104789e-01,3.399005809590144311e-01,-7.409453392028808594e-04,9.242675304412841797e-01,1.647697295993566513e-03,2.071119248867034912e-01,0.000000000000000000e+00,2.222606688737869263e-01
5.800000000000000000e+01,1.232925336807966232e-02,1.595990732312202454e-02,9.107968108626443016e-01,3.168477518592510145e-01,-9.628087282180786133e-04,9.306725263595581055e-01,1.618293812498450279e-03,1.976576596498489380e-01,0.000000000000000000e+00,2.185305655002593994e-01
5.900000000000000000e+01,1.244416832923889160e-02,1.605013385415077209e-02,9.069794509308968244e-01,3.058401928923702995e-01,-2.352520823478698730e-04,9.458339214324951172e-01,1.622077310457825661e-03,2.000204622745513916e-01,0.000000000000000000e+00,2.163110077381134033e-01
6.000000000000000000e+01,1.259943190962076187e-02,1.627343334257602692e-02,9.104026642224972710e-01,3.170192622781577430e-01,-2.650566399097442627e-03,9.298805594444274902e-01,1.653082435950636864e-03,2.199973911046981812e-01,0.000000000000000000e+00,2.195408195257186890e-01
6.100000000000000000e+01,1.251190714538097382e-02,1.618315093219280243e-02,9.107962692742651578e-01,3.231297693394345472e-01,-2.576380968093872070e-03,9.339594841003417969e-01,1.596512855030596256e-03,2.138944417238235474e-01,0.000000000000000000e+00,2.265148460865020752e-01
6.200000000000000000e+01,1.245328970253467560e-02,1.609951257705688477e-02,9.122147936591563644e-01,3.180134201503855840e-01,-2.395451068878173828e-03,9.308922886848449707e-01,1.525016152299940586e-03,2.084749937057495117e-01,0.000000000000000000e+00,2.159410715103149414e-01
6.300000000000000000e+01,1.225709728896617889e-02,1.586224511265754700e-02,9.150460454828314161e-01,3.366992411906104543e-01,-2.505540847778320312e-03,9.358051419258117676e-01,1.441058237105607986e-03,2.082992494106292725e-01,0.000000000000000000e+00,2.228395491838455200e-01
6.400000000000000000e+01,1.237113028764724731e-02,1.607450656592845917e-02,9.161161862172281234e-01,3.360325397630932187e-01,-1.417465507984161377e-03,9.259399175643920898e-01,1.373454579152166843e-03,2.166006714105606079e-01,0.000000000000000000e+00,2.348656803369522095e-01
6.500000000000000000e+01,1.242914330214262009e-02,1.617358624935150146e-02,9.179467946540493806e-01,3.239086035857835499e-01,-1.925945281982421875e-03,9.219797849655151367e-01,1.369004137814044952e-03,1.987077593803405762e-01,0.000000000000000000e+00,2.201149165630340576e-01
6.600000000000000000e+01,1.261534448713064194e-02,1.639780215919017792e-02,9.185832412741643527e-01,3.204764756404839821e-01,-3.242127597332000732e-03,9.346790909767150879e-01,1.282710814848542213e-03,2.029993683099746704e-01,0.000000000000000000e+00,2.221431881189346313e-01
6.700000000000000000e+01,1.235652994364500046e-02,1.599141769111156464e-02,9.199623430482319897e-01,3.290530090994782664e-01,-4.914402961730957031e-05,9.392634034156799316e-01,1.227204571478068829e-03,2.073209583759307861e-01,0.000000000000000000e+00,2.219445407390594482e-01
6.800000000000000000e+01,1.212811842560768127e-02,1.576291769742965698e-02,9.218875301965289148e-01,3.619655991770289738e-01,3.635063767433166504e-04,9.456739425659179688e-01,1.203629886731505394e-03,2.085503786802291870e-01,0.000000000000000000e+00,2.381194531917572021e-01
6.900000000000000000e+01,1.217388175427913666e-02,1.582183502614498138e-02,9.222869847018156930e-01,3.473770916320484958e-01,4.564970731735229492e-05,9.466983675956726074e-01,1.163580920547246933e-03,2.131188362836837769e-01,0.000000000000000000e+00,2.330797314643859863e-01
7.000000000000000000e+01,1.240606978535652161e-02,1.615107618272304535e-02,9.222652037786989165e-01,3.612217121489034732e-01,-3.511011600494384766e-04,9.301713109016418457e-01,1.139978412538766861e-03,2.186037451028823853e-01,0.000000000000000000e+00,2.481233775615692139e-01
7.100000000000000000e+01,1.207082811743021011e-02,1.571795344352722168e-02,9.232345462015454363e-01,3.632054623729791820e-01,1.524090766906738281e-04,9.662534594535827637e-01,1.087500830180943012e-03,2.396090477705001831e-01,0.000000000000000000e+00,2.381894290447235107e-01
7.200000000000000000e+01,1.221670955419540405e-02,1.594734005630016327e-02,9.254090823556390122e-01,3.281512965100829571e-01,-2.344250679016113281e-04,9.561958909034729004e-01,9.664160315878689289e-04,1.981041729450225830e-01,0.000000000000000000e+00,2.165477573871612549e-01
